Nombre,Anyo Nacimiento,Conocido Por,Que hace,Premios ganados
Horatiu Malaele,1952,"Boda muda, Moromete Family: On the Edge of Time, Funeralii fericite","Reparto, Direccion, Guion",0
Paul Rudd,1969,"Ant-Man, Ant-Man y la Avispa, Te quiero, tio","Reparto, Produccion, Guion",9
Kevin Hart,1979,"Vaya patrulla, Un espia y medio, La gran revancha","Produccion, Guion, Reparto",20
Josh Brolin,1968,"Vengadores: Endgame, No es pais para viejos, Vengadores: Infinity War","Reparto, Produccion, Direccion",21
Eddie Daniels,1967,"Teniente corrupto, Ken Park, Manhattan Minutiae","Reparto, Direccion de produccion, Produccion",0
Allie Marie Evans,1996,"El viaje de Max, 47 Hours, Chapter 51",Reparto,0
Paul Reubens,1952,"Pee-wee's Playhouse, La gran aventura de Pee-wee, El gran Pee-Wee","Reparto, Guion, Direccion",6
Geoffrey Lewis,1935,"Secuestro infernal, Un botin de 500.000 dolares, Los renegados del diablo","Reparto, Guion, Direccion",2
Yaroslav Kozak,1993,"Vedro, Komunalne, Nos","Reparto, Produccion, Vestuario",0
Samuel Hui,1948,"Swordsman, Mad Mission, La leyenda de la perla dorada","Reparto, Musica, Composicion",0
Luis Alarcon,1929,"Estupido Cupido, La fiera, Tempano","Reparto, Efectos especiales, Produccion",4
Anthony Harrison,1961,"Joe Finds Grace, Somos los mejores: Una nueva era, Exuvia","Reparto, Produccion, Guion",2
John Goodman,1952,"Calle Cloverfield 10, Barton Fink, Argo","Reparto, Produccion, Banda sonora",33
Matt Damon,1970,"El indomable Will Hunting, Marte (The Martian), Infiltrados","Produccion, Reparto, Guion",40
Michael Pena,1976,"La gran estafa americana, Crash (Colision), Sin tregua","Reparto, Produccion, Banda sonora",13
Rosario Dawson,1979,"Rent, Batman: La LEGO pelicula, Sin City: Ciudad del pecado","Reparto, Produccion, Direccion",16
John Ducey,1969,"Yo creo en Papa Noel, Bad Judge, Zack y Cody: La pelicula","Reparto, Guion, Produccion",0
Rich Fulcher,1968,"The Mighty Boosh, Wonka, Snuff Box","Reparto, Produccion, Guion",0
Avtar Gill,1950,"Airlift, Dilwale, Veergati",Reparto,0
Zoltan Ratoti,1960,"Europa expressz, Eletkepek, The Gravy Train Goes East",Reparto,0
Marco Ricca,1962,"Cabeca a Premio, Crime Delicado, El Invasor","Reparto, Produccion, Guion",12
Ezra Miller,1992,"Las ventajas de ser un marginado, Tenemos que hablar de Kevin, Liga de la Justicia","Reparto, Produccion, Direccion",10
Tom Hiddleston,1981,"Los Vengadores, Thor, Thor: El mundo oscuro","Reparto, Produccion, Banda sonora",11
Dev Patel,1990,"Slumdog Millionaire, Monkey Man, Lion","Reparto, Produccion, Direccion",25
Don Cheadle,1964,"Crash (Colision), El irlandes, Hotel Rwanda","Reparto, Produccion, Direccion",38
Eddie Redmayne,1982,"Los miserables, La teoria del todo, La chica danesa","Reparto, Produccion, Banda sonora",26
Vinod Khanna,1946,"Dilwale, Qurbani, Dabangg","Reparto, Musica, Produccion",3
Mahesh Raaj,1953,"Hulchul, Jahan Jaaeyega Hamen Paaeyega, Yaar Gaddar",Reparto,0
Amitabh Bachchan,1942,"Black, Mohabbatein, Pink","Reparto, Produccion, Guion",103
Ewan McGregor,1971,"Moulin Rouge, Trainspotting, Agosto","Reparto, Produccion, Guion",36
Gemma Arterton,1986,"Prince of Persia: Las arenas del tiempo, Byzantium, Melanie: La chica con todos los dones","Reparto, Produccion, Banda sonora",2
Yana Drouz,1956,"28:94 Local Time, Ryadom, Tak erkir, tsurt dzmer","Reparto, Direccion, Guion",0
Karen Dzhanibekyan,1937,"Gaghtni khorhrdakane, Trinadtsatyy apostol, Baghdasare bazhanvum e knojits",Reparto,0
Andrew Garfield,1983,"Hasta el ultimo hombre (Hacksaw Ridge), The Amazing Spider-Man, La red social","Reparto, Produccion, Banda sonora",39
Zoe Saldana,1978,"Guardianes de la Galaxia, Avatar, Star Trek","Reparto, Produccion, Guion",20
Julian Glover,1935,"Indiana Jones y la ultima cruzada, El imperio contraataca, Troya","Reparto, Banda sonora",2
