,Nombre,Anyo Nacimiento,Conocido Por,Que hace,Premios ganados
0,Horatiu Malaele,1952,"Boda muda, Moromete Family: On the Edge of Time, Funeralii fericite","Reparto, Direccion, Guion",0
1,Mireia Aixala,No info,"Cuando los amos duermen, Transeuntes, Mamifera",Reparto,0
2,Hector Atienza,No info,"La Riera, Diarios de la webcam, La Lona",Reparto,0
3,Carlota Benet,No info,"Transeuntes, Terra baixa, The weekly mag",Reparto,0
4,Nerea Blanco,No info,"Transeuntes, No info, No info",Reparto,0
5,Gemma Brio,No info,"Transeuntes, La febre d'or, Las del hockey",Reparto,0
6,Marcelo Bukin,No info,"Dreaming Nicaragua, Fuego de angel, Calles de Lima","Direccion, Guion, Direccion de fotografia y camara",7
7,Michael Troude,No info,"Sin tiempo para morir, Danny the Dog, Distrito 13","Especialistas, Reparto",0
8,Paul Rudd,1969,"Ant-Man, Ant-Man y la Avispa, Te quiero, tio","Reparto, Produccion, Guion",9
9,Kevin Hart,1979,"Vaya patrulla, Un espia y medio, La gran revancha","Produccion, Guion, Reparto",20
10,Maxime Seguin-Durand,No info,"Ceci n'est pas un polar, Publicite SAAQ - campagne publicitaire sur les drogues au volant (Pigeon), No info",Reparto,0
11,Marina Janhunen Calderon,No info,"Star Wars: The Dark Empire, Star Wars: Qui-Gon Jinn III, Nemesis de Clank","Reparto, Produccion, Camara y electricidad",0
12,Emilio Janhunen Calderon,No info,"Nemesis de Clank, Rinoplasticos: A Warrior's Journey, Clank and Goldscar","Reparto, Direccion, Produccion",0
13,Alvaro Calderon Sr.,No info,"El Resplandor del Brillante en los Ojos Dormidos en La Mariguana, Rinoplasticos III, Rinoplasticos IV","Reparto, Guion, Produccion",0
14,Andres Calderon,No info,"Rinoplasticos: A Warrior's Journey, Rinoplasticos III, Clank: El mosaico rojo","Reparto, Direccion de fotografia y camara, Produccion",0
15,Hendra Gunawan,No info,"Sisi Manis, Rajawali, No info",Reparto,0
16,Jack Porter,No info,"Let's Kill Mom, The Fast One, The Bay House","Camara y electricidad, Produccion, Reparto",0
17,Heath Bolton,No info,"What Doesn't Kill Us, Jeremy, A Short Film About Short Films",Reparto,0
18,Buddy Ketelle,No info,"Let's Kill Mom, Burrito Tuesday!, Jeff and Jeffrey","Guion, Direccion, Edicion",0
19,Joshua Faust,No info,"The Hungry Buddhists, No info, No info",Reparto,0
20,Josh Brolin,1968,"Vengadores: Endgame, No es pais para viejos, Vengadores: Infinity War","Reparto, Produccion, Direccion",21
21,Joey Cummings,No info,"Have You Seen Me?, No info, No info",Reparto,0
22,Clarence Phillpot,No info,"Have You Seen Me?, No info, No info",Reparto,0
23,Chris Elwood,No info,"Buen rollito, Ringer, My Dinner with Jimi","Reparto, Guion",0
24,Eddie Daniels,1967,"Teniente corrupto, Ken Park, Manhattan Minutiae","Reparto, Direccion de produccion, Produccion",0
25,Sarah Maria Newman,No info,"Girls! Girls! Girls!, Manhattan Minutiae, How to Have a Happy Marriage","Reparto, Produccion, Equipos adicionales",0
26,Allie Marie Evans,1996,"El viaje de Max, 47 Hours, Chapter 51",Reparto,0
27,Patrick Johnson,No info,"Sabotage, Mas alla del amor, Terapia de choque","Reparto, Camara y electricidad, Produccion",0
28,Paul Reubens,1952,"Pee-wee's Playhouse, La gran aventura de Pee-wee, El gran Pee-Wee","Reparto, Guion, Direccion",6
29,Clarence Phillpot,No info,"Have You Seen Me?, No info, No info",Reparto,0
30,Geoffrey Lewis,1935,"Secuestro infernal, Un botin de 500.000 dolares, Los renegados del diablo","Reparto, Guion, Direccion",2
31,Clarence Phillpot,No info,"Have You Seen Me?, No info, No info",Reparto,0
32,Tamara Bruketta,No info,"Baked Goods, Hey Ash, Whatcha Playin'?, The Search","Reparto, Guion, Produccion",0
33,Benji Dolly,No info,"Video Game High School, Champion of Glory, Dimension 404","Reparto, Edicion, Produccion",0
34,Tristan Gregson,No info,"Attack of the Doc!, Pool Fart, No info","Reparto, Produccion",0
35,Darnell Murphy Jr.,No info,"Survival of the Dumbest, Anime Crimes Division, Trey Day","Equipos adicionales, Reparto, Guion",0
36,Jewel Greenberg,No info,"96 Souls, Heaven's Renegade Angel, No sabia que estaba embarazada","Reparto, Produccion, Direccion",0
37,Clarence Phillpot,No info,"Have You Seen Me?, No info, No info",Reparto,0
38,Kevin Kilumbu,No info,"Ingenua inocencia, Insecure, Snowfall",Reparto,0
39,Haley Brooke Newton,No info,"Un encargo muy especial, Hospital Head Doctor, No info",Reparto,0
40,Yaroslav Kozak,1993,"Vedro, Komunalne, Nos","Reparto, Produccion, Vestuario",0
41,Clarence Phillpot,No info,"Have You Seen Me?, No info, No info",Reparto,0
42,Helen Chan,No info,"Quan jia fu, No info, No info",Reparto,0
43,Samuel Hui,1948,"Swordsman, Mad Mission, La leyenda de la perla dorada","Reparto, Musica, Composicion",0
44,Luis Alarcon,1929,"Estupido Cupido, La fiera, Tempano","Reparto, Efectos especiales, Produccion",4
45,Clarence Phillpot,No info,"Have You Seen Me?, No info, No info",Reparto,0
46,Anthony Harrison,1961,"Joe Finds Grace, Somos los mejores: Una nueva era, Exuvia","Reparto, Produccion, Guion",2
47,Clarence Phillpot,No info,"Have You Seen Me?, No info, No info",Reparto,0
48,John Goodman,1952,"Calle Cloverfield 10, Barton Fink, Argo","Reparto, Produccion, Banda sonora",33
49,Clarence Phillpot,No info,"Have You Seen Me?, No info, No info",Reparto,0
50,Matt Damon,1970,"El indomable Will Hunting, Marte (The Martian), Infiltrados","Produccion, Reparto, Guion",40
51,Clarence Phillpot,No info,"Have You Seen Me?, No info, No info",Reparto,0
52,Michael Pena,1976,"La gran estafa americana, Crash (Colision), Sin tregua","Reparto, Produccion, Banda sonora",13
53,Clarence Phillpot,No info,"Have You Seen Me?, No info, No info",Reparto,0
54,Gladys Florence,No info,"Caravaggio and My Mother the Pope, No info, No info","Direccion, Reparto, Guion",0
55,Clarence Phillpot,No info,"Have You Seen Me?, No info, No info",Reparto,0
56,Rosario Dawson,1979,"Rent, Batman: La LEGO pelicula, Sin City: Ciudad del pecado","Reparto, Produccion, Direccion",16
57,Ty Paige,No info,"Have You Seen Me?, No info, No info",Reparto,0
58,Greg Lindsay,No info,"Dos buenos tipos, Patinazo a la gloria, Las Vegas","Reparto, Guion, Produccion",0
59,John Ducey,1969,"Yo creo en Papa Noel, Bad Judge, Zack y Cody: La pelicula","Reparto, Guion, Produccion",0
60,Rich Fulcher,1968,"The Mighty Boosh, Wonka, Snuff Box","Reparto, Produccion, Guion",0
61,Victoria Crawford,No info,"Remnants, Folly of Man, In My Shoes","Reparto, Equipos adicionales",0
62,Matt Williams,No info,"These Streets We Haunt, Nashville, Everyday Yeti","Reparto, Guion, Direccion",0
63,Nicholas Riggall,No info,"Play-Time!, Eternal Harvest, Whiteblood","Reparto, Produccion",0
64,Clarence Phillpot,No info,"Have You Seen Me?, No info, No info",Reparto,0
65,Avtar Gill,1950,"Airlift, Dilwale, Veergati",Reparto,0
66,Priyadarshan Jadhav,No info,"Choricha Mamla, Maska, Jaago Mohan Pyare","Reparto, Guion, Direccion",0
67,Tamara Avramoska,No info,"First Kiss, No info, No info",Reparto,0
68,Filip Kamnaroski,No info,"First Kiss, No info, No info",Reparto,0
69,Aleksandar Kamnaroski,No info,"Godina majmuna, Oops, No info",Reparto,0
70,Blagica Trpkovska,No info,"Kill the Children first, Do balcak, Godina majmuna",Reparto,0
71,Mark Bodoky,No info,"Get Lost, Aurora Borealis: Eszaki feny, Engedetlen",Reparto,0
72,Zoltan Ratoti,1960,"Europa expressz, Eletkepek, The Gravy Train Goes East",Reparto,0
73,Tim Burleson,No info,"Excalibur Too, Burrito Tuesday!, Hamfisted",Reparto,0
74,Calvin Henson Jr.,No info,"Alone in the Dark, All in the Family, Joe Haladin: The Case of the Missing Sister","Camara y electricidad, Reparto, Produccion",0
75,Ricky Hunt,No info,"The Ballet Exam, The Sharpie, No info","Reparto, Guion",0
76,Abbie Murphy,No info,"David Brent: Life on the Road, Pokemon: Detective Pikachu, The Stand Up Sketch Show","Reparto, Guion, Direccion",0
77,Martavious Cerrone Gayles,No info,"American Idol: The Search for a Superstar, Padre Made in USA, The Orville","Reparto, Equipos adicionales, Guion",0
78,Andres Uribe,No info,"The Wolf of Guacotle, No info, No info",Reparto,0
79,Sarah McLean,no info,"Ley y orden: Crimen organizado, Little America, Defender a Jacob","Reparto, Guion, Produccion",0
80,Nicole Serrat,No info,"Chatter, You Got the Part, Sonia","Reparto, Guion, Equipos adicionales",0
81,Wenting Hao,No info,"Mei Gong he xing dong, Fairyland Lovers, Wo ke neng yu dao le jiu xing",Reparto,0
82,Haoyu Wang,No info,"Shao nv tian shi, Growing Pains, Na nian hua kai yue zheng yuan",Reparto,0
83,Joshua Lino Da Costa,No info,"The Good, The Bad And The Tennis, No info, No info",Reparto,0
84,Liam Kelleher,No info,"The Good, The Bad And The Tennis, No info, No info",Reparto,0
85,Christian Colucci,No info,"Corazones en llamas, Piel de Lija, No Me Cazaras",Reparto,0
86,Katherine Dudley,No info,"Caged, Neon, UnHoly Father","Direccion de fotografia y camara, Produccion, Direccion",2
