,Nombre,Anyo Nacimiento,Conocido Por,Que hace,Premios ganados
0,Kim Soss,No info,"Shulie, Interkosmos, No info","Reparto, Direccion de arte, Diseno de produccion",0
1,Marco Ricca,1962,"Cabeca a Premio, Crime Delicado, El Invasor","Reparto, Produccion, Guion",12
2,Mireia Aixala,No info,"Cuando los amos duermen, Transeuntes, Mamifera",Reparto,0
3,Hector Atienza,No info,"La Riera, Diarios de la webcam, La Lona",Reparto,0
4,Carlota Benet,No info,"Transeuntes, Terra baixa, The weekly mag",Reparto,0
5,Amaury Brigante,No info,"Transeuntes, La maniobra de Heimlich, No info",Reparto,0
6,Manuel Bronchud,No info,"[REC], Estambul 65, La mentira tiene cabellos rojos",Reparto,0
7,Ezra Miller,1992,"Las ventajas de ser un marginado, Tenemos que hablar de Kevin, Liga de la Justicia","Reparto, Produccion, Direccion",10
8,Tom Hiddleston,1981,"Los Vengadores, Thor, Thor: El mundo oscuro","Reparto, Produccion, Banda sonora",11
9,Dev Patel,1990,"Slumdog Millionaire, Monkey Man, Lion","Reparto, Produccion, Direccion",25
10,Don Cheadle,1964,"Crash (Colision), El irlandes, Hotel Rwanda","Reparto, Produccion, Direccion",38
11,Eddie Redmayne,1982,"Los miserables, La teoria del todo, La chica danesa","Reparto, Produccion, Banda sonora",26
12,Vinod Khanna,1946,"Dilwale, Qurbani, Dabangg","Reparto, Musica, Produccion",3
13,Chal McDonnell,No info,"Rosie & Me, No info, No info",Reparto,0
14,Orsolya Kiraly,No info,"Zold feny, Indifference, Feher farkas",Reparto,0
15,Bela Stubnya,no info,"P.S.O: In the Name of My Father, Gengszterfilm, Bet on Revenge","Reparto, Equipos adicionales",0
16,Daniel Bodis,No info,"Akarsz-e jatszani?, Szelfi Egyetem, Zold feny","Reparto, Guion, Camara y electricidad",0
17,Lluis Perez,No info,"Jovenes, Rotten Rain, Merli. Sapere Aude",Reparto,0
18,Pere Palau,No info,"No info, No info, No info",Reparto,0
19,Ramesh Juglan,No info,"Dangebaaz, No info, No info","Reparto, Produccion",0
20,Neha Kapoor,No info,"Enthiran, Mimamsa, Dangebaaz",Reparto,0
21,Mahesh Raaj,1953,"Hulchul, Jahan Jaaeyega Hamen Paaeyega, Yaar Gaddar",Reparto,0
22,Amitabh Bachchan,1942,"Black, Mohabbatein, Pink","Reparto, Produccion, Guion",103
23,Ewan McGregor,1971,"Moulin Rouge, Trainspotting, Agosto","Reparto, Produccion, Guion",36
24,Gemma Arterton,1986,"Prince of Persia: Las arenas del tiempo, Byzantium, Melanie: La chica con todos los dones","Reparto, Produccion, Banda sonora",2
25,Yana Drouz,1956,"28:94 Local Time, Ryadom, Tak erkir, tsurt dzmer","Reparto, Direccion, Guion",0
26,Karen Dzhanibekyan,1937,"Gaghtni khorhrdakane, Trinadtsatyy apostol, Baghdasare bazhanvum e knojits",Reparto,0
27,Heghine Hovhannisyan,No info,"28:94 Local Time, Tak erkir, tsurt dzmer, No info",Reparto,0
28,Vigen Stepanyan,No info,"Thank You, Dad, Light Drops, Znak Vechnosti","Reparto, Guion",0
29,Josh Brolin,1968,"Vengadores: Endgame, No es pais para viejos, Vengadores: Infinity War","Reparto, Produccion, Direccion",21
30,Andrew Garfield,1983,"Hasta el ultimo hombre (Hacksaw Ridge), The Amazing Spider-Man, La red social","Reparto, Produccion, Banda sonora",39
31,Zoe Saldana,1978,"Guardianes de la Galaxia, Avatar, Star Trek","Reparto, Produccion, Guion",20
32,Geoffrey Lewis,1935,"Secuestro infernal, Un botin de 500.000 dolares, Los renegados del diablo","Reparto, Guion, Direccion",2
