,Nombre,Anyo Nacimiento,Conocido Por,Que hace,Premios ganados
0,Marina Janhunen Calderón,No info,"['Star Wars: The Dark Empire', 'Star Wars: Qui-Gon Jinn III', 'Némesis de Clank']","['Reparto', 'Producción', 'Cámara y electricidad']",No ha ganado premios
1,Emilio Janhunen Calderón,No info,"['Némesis de Clank', ""Rinoplasticos: A Warrior's Journey"", 'Clank and Goldscar']","['Reparto', 'Dirección', 'Producción']",No ha ganado premios
2,Alvaro Calderón Sr.,No info,"['El Resplandor del Brillante en los Ojos Dormidos en La Mariguana', 'Rinoplasticos III', 'Rinoplasticos IV']","['Reparto', 'Guion', 'Producción']",No ha ganado premios
3,Andrés Calderón,No info,"[""Rinoplasticos: A Warrior's Journey"", 'Rinoplasticos III', 'Clank: El mosaico rojo']","['Reparto', 'Dirección de fotografía y cámara', 'Producción']",No ha ganado premios
4,Charlie Cakes,No info,"['Bekah', 'An Absent Dream', 'Mind Games']","['Reparto', 'Guion', 'Producción']",No ha ganado premios
5,Baro,No info,"[""God's Gift: 14 Days"", 'Eung-dab-ha-ra 1994', 'Aenggeurimam']","['Reparto', 'Banda sonora']",no info
6,Fred Aaron Blake,1968,"['Ha vuelto', 'El escritor', 'Oh Boy']",['Reparto'],no info
7,Travis Fimmel,1979,"['Warcraft: El origen', 'Vikingos', 'Forajidos de Baytown']","['Reparto', 'Producción']",no info
8,Allie Marie Evans,1996,"['El viaje de Max', '47 Hours', 'Chapter 51']",['Reparto'],No ha ganado premios
9,Patrick Johnson,No info,"['Sabotage', 'Más allá del amor', 'Terapia de choque']","['Reparto', 'Cámara y electricidad', 'Producción']",no info
10,Alexander Skarsgård,1976,"['La leyenda de Tarzán', 'Big Little Lies', 'True Blood']","['Reparto', 'Producción', 'Dirección']",['15']
11,Adam Greaves-Neal,No info,"['El joven mesías', 'Johnny English de nuevo en acción', 'Sherlock']",['Reparto'],['2']
12,Salazar Alejandro,No info,"['Panspermia, la semilla del todo', 'No info', 'No info']",['Reparto'],No ha ganado premios
13,Martinez Miguel,No info,"['Mafia en Chicago', 'Panspermia, la semilla del todo', 'No info']",['Reparto'],No ha ganado premios
14,Mehdi Aliyev,No info,"['Kendistan 2', 'Unfriended', 'No info']",['Reparto'],No ha ganado premios
15,David Bonsell,No info,"['Tierra de leche y miel', 'En El Valle De Gigantes', 'No info']",['Reparto'],No ha ganado premios
16,Leonel Leyva,No info,"['Esta historia me suena', 'En El Valle De Gigantes', 'No info']",['Reparto'],No ha ganado premios
17,Ana Ramirez,No info,"['En El Valle De Gigantes', 'Art Attack: Modo desafío', 'No info']",['Reparto'],No ha ganado premios
18,Jordan Brown,No info,"['Let Fall the Rain', 'Storage Unit', 'Red River']","['Producción', 'Dirección de la segunda unidad o asistencia a dirección', 'Dirección']",No ha ganado premios
19,Zuri Shafer,No info,"['Dull Boy', 'Answer Me: III', '88A-12']","['Dirección', 'Dirección de fotografía y cámara', 'Guion']",['7']
20,Ana Ramirez,No info,"['En El Valle De Gigantes', 'Art Attack: Modo desafío', 'No info']",['Reparto'],No ha ganado premios
21,Katerina Dawson,No info,"['Harbinger', 'Grief', 'Wasted']","['Reparto', 'Producción', 'Sonido']",No ha ganado premios
22,Cathryn Zambryscka,No info,"['Blindness', 'A Little Monster Movie', 'Mother Knows Best']",['Reparto'],No ha ganado premios
23,Adam Stainthorpe,No info,"['Number 6', 'The Little Count', 'No info']",['Reparto'],No ha ganado premios
24,Peter Cottle,No info,"['Number 6', 'No info', 'No info']",No info,No ha ganado premios
25,Jennifer Gothuey,No info,"['Au bord du gouffre', 'Escamotage', 'No info']",['Reparto'],No ha ganado premios
26,Nathan Lepiller,No info,"['Guermantes', 'Plumas', 'Habitación 212']","['Reparto', 'Equipos adicionales']",No ha ganado premios
