,Nombre,Anyo Nacimiento,Conocido Por,Que hace,Premios ganados
0,Ezra Miller,1992,"Las ventajas de ser un marginado, Tenemos que hablar de Kevin, Liga de la Justicia","Reparto, Produccion, Direccion",10
1,Aurelia Poirier,No info,"La quinta estacion, Monuments Men, Nine","Reparto, Guion, Produccion",no info
2,Lale Memmed,No info,"Devil's Side, No info, No info",Reparto,No ha ganado premios
3,Robert Nevico,No info,"Imogen, No info, No info","Direccion, Reparto, Guion",No ha ganado premios
4,Michael Hodson,No info,"The Dirt, Pink Moon, Watchmen","Reparto, Produccion",No ha ganado premios
5,Dathan Smith,No info,"L.I.F.E., Tulsa King, Foreclosure","Reparto, Guion, Direccion",19
6,Francois Lacoste,No info,"Vizavi Terminus, No info, No info",Reparto,No ha ganado premios
7,Chelsea Aldrich,No info,"Tripping Over Shadows, The Lioness Club, You Beto Vote 2","Reparto, Guion, Direccion",No ha ganado premios
8,Jason Sweatt,No info,"The Challenger Disaster, 869, The Great American Moon Rock Caper",Reparto,No ha ganado premios
9,Tato Alexander,No info,"El Aire es Dulce Aqui, Negociando con mi mujer, Almas de la Niebla",Reparto,no info
10,Tom Hardy,1977,"Origen, El caballero oscuro: La leyenda renace, Locke","Reparto, Produccion, Guion",22
11,Chikkanna,No info,"Master Piece, Kotigobba 2, Pogaru","Reparto, Direccion, Musica",3
12,Nick Fenske,1964,"Blindsided, Asuntos de estado, Giro inesperado","Reparto, Produccion, Guion",no info
13,Meredith Lim,No info,"Remain, Pair of Crushers, No info",Reparto,No ha ganado premios
14,Emily Billig,No info,"Christmassacre, Positive Mentorship Sisterhood (P.M.S.), Abnegate","Reparto, Guion, Produccion",No ha ganado premios
15,Roberto Palazuelos,1967,"Manana es para siempre, El secreto de la ouija, Una luz en la oscuridad","Reparto, Produccion, Direccion",no info
16,Sam Rockwell,1968,"Moon, Tres anuncios en las afueras, Confesiones de una mente peligrosa","Reparto, Produccion, Direccion",50
17,William Fernandez,No info,"Metal Gear Solid: A New Divide, Sinister, Fight for Redemption","Reparto, Camara y electricidad, Direccion de fotografia y camara",No ha ganado premios
18,Matthew Silva,No info,"Intense Battles Reloaded, Dominic Bane, Dust","Produccion, Reparto, Direccion",18
19,Brian Collins,No info,"Trouble Down East, No info, No info",Reparto,No ha ganado premios
20,Mike Curtis,No info,"LEGO Sonic Adventures, The Fairly OddGamer, Trouble Down East","Reparto, Guion, Direccion",No ha ganado premios
21,Matt Enos,No info,"The Slim Duffy show, Trouble Down East, Last Days In Waldo County","Reparto, Direccion, Guion",No ha ganado premios
22,Zac Lucas,No info,"Trouble Down East, No info, No info",Reparto,No ha ganado premios
23,Cade Nickels,No info,"Last Days In Waldo County, Trouble Down East, Battle Legends: The Legend of Battle Master","Reparto, Direccion de fotografia y camara, Produccion",No ha ganado premios
24,Shawn O'Brien,No info,"Trouble Down East, No info, No info",Reparto,No ha ganado premios
