"id_pelicula";"puntuacion";"porcentaje";"direccion";"guion";"argumento";"genero";"duracion";"titulo"
"tt0011216";7.0;70;"Germaine Dulac";"Louis Delluc";"Coveted by two different men, a woman turns to a third man instead.";"Drama";67;"La fete espagnole"
"tt0011801";0.0;0;"Lupu Pick";"Gerhard Lamprecht, Lupu Pick";"In Russia's revolution, a violinist 's son dies,the father is jailed for assaulting the governor. Years later, the violinist's daughter wants to marry the son of the man who sentenced her father.A tragic fate awaits her new husband.";"Accion, Crimen";0;"Totet nicht mehr"
"tt0062336";6.4;64;"Raul Ruiz";"Raul Ruiz, Omar Saavedra Santis";"La esposa de un hombre se ha suicidado y se le aparece como un fantasma, siguiendolo a todas partes y cambiando su personalidad.";"Drama";70;"El tango del viudo y su espejo deformante"
"tt0069049";6.7;67;"Orson Welles";"Orson Welles, Oja Kodar";"Un director de Hollywood regresa tras un tiempo en las sombras para completar su trabajo en una innovadora pelicula.";"Drama";122;"Al otro lado del viento"
"tt0083060";6.6;66;"Nuanxing Zhang";"Tuo Li, Nuanxing Zhang";"Sha Ou is a volleyball player and works hard against her injuries resulting from training. In spite of her defeat in an international competition and the the death of her boyfriend, she insists on her training.";"Drama, Deporte";84;"Sha Ou"
"tt0087963";6.6;66;"Dean Shek";"Helen Chan, Olivia Cheng, Samuel Hui";"To get their parents back together, two clever siblings team up with their grandpa in a series of mischievous antics.";"Comedia, Drama";97;"Quan jia fu"
"tt0093119";2.7;27;"Andre Szots";"Joan McCall, David Sheldon";"El infierno se desata cuando un Grizzly gigante, reaccionando a la matanza de Grizzlies por cazadores furtivos, ataca en un concierto masivo de grandes bandas de rock en el Parque Nacional.";"Terror, Musica, Suspense";74;"Grizzly II: El concierto"
"tt0100275";6.5;65;"Raul Ruiz";"Pia Rey, Raul Ruiz";"The film revolves around the concept of soap opera. Its structure is based on the assumption that Chilean reality does not exist, but rather is an ensemble of soap operas.";"Comedia, Drama, Fantasia";80;"La Telenovela Errante"
"tt0111414";0.0;0;"Frank Howson";"Frank Howson";"A lonely man on the run is trapped inside a house. He reflects on the mistakes in his life as those who wish him harm close in.";"Comedia";75;"A Thin Life"
"tt0112502";4.7;47;"Mc Jones";"";"A story of a man who, after having been through a terrible accident that killed his wife and kids, is forced to spend an entire week at his vacation home in a remote area of the Rocky Mountains, and soon discovers the unfriendly truth behind the Bigfoot legend.";"Terror, Suspense";0;"Bigfoot"
"tt0116991";7.3;73;"John Bailey";"Ron Hansen";"Set in a turn-of-the-century religious community about a nun who has recently taken her vows.";"Drama";101;"Mariette in Ecstasy"
"tt0137204";8.5;85;"Anthony Harrison";"Anthony Harrison";"Simple-minded Joseph Briteman breaks a golden rule of his 'life skills' program when he walks away unsupervised to rescue his long lost baby sister.";"Animacion, Aventura, Comedia";83;"Joe Finds Grace"
"tt0177220";6.4;64;"Elisabeth Subrin";"Elisabeth Subrin";"A shot-by-shot reenactment of an unreleased 1967 documentary portrait of SAIC student Shulamith Firestone, who, a few years later, would become a central figure in the rise of radical feminism.";"Biografia, Drama";37;"Shulie"
"tt0191476";6.1;61;"Mircea Daneliuc";"Mircea Daneliuc";"Young Doina has a car accident. In intensive care, the doctor, Vali, calls her time of death but discovers that the child she was carrying is still alive. Wishing to save its life, the doctor puts the mother on artificial life support.";"Comedia";93;"Aceste Lehamite"
"tt0192528";3.1;31;"Stuart Paul";"Stuart Paul";"In 1990s Los Angeles, danger lurks around the corner after a freak accident leaves an undercover cop with supernatural abilities while also unleashing a horror that he must destroy before it destroys everything.";"Drama";104;"Reverse Heaven"
"tt0269768";0.0;0;"Martha Davis";"Martha Davis";"Reading the replies to a personal ad she has placed, a woman imagines herself in relationships with three different men. The first man is young, domestic and likable, the second rich exciting and arrogant and the third older, exuberant and vulnerable. (The late clown and mime artist Richard Pochinko plays the third man in his only film role.) The classic dating scenar... Leer todo";"Documental, Drama";36;"Reading Between the Lines"
"tt0276568";6.6;66;"Pat Jackson";"Richard Bradford, Ron Randell, Anton Rodgers";"A lone shark bounty hunter pits himself against secret agents from three countries. The prize: a million bucks in cash for vital state secrets. A little talky in spots, but overall not bad. Color. 16mm.";"Accion, Drama";97;"A la caza del millon"
"tt0297400";7.0;70;"";"";"El ingenio empresarial, la paranoia y el derramamiento de sangre detras del trafico de cocaina, en la historia real del contrabandista Zachary Swan, que a principios de los 70 organizo redes para burlar a policia y funcionarios de aduanas.";"Crimen, Drama";0;"Snowblind"
"tt0315642";7.1;71;"Bejoy Nambiar";"Vidhu Vinod Chopra, Abhijat Joshi, Bejoy Nambiar";"A grief-stricken cop and an amputee grandmaster are brought together by a peculiar twist of fate as part of a wider conspiracy that has darkened their lives.";"Accion, Crimen, Drama";103;"Wazir"
"tt0328810";7.8;78;"Mrinal Sen";"Afsar Ahmed, Mrinal Sen, H. Banerjee";"A triangle love story between viz Meher (Kaushik Sen), Noor (Saswato Chaterjee) and Sakina (Nandita Das).";"Drama, Familiar";102;"Aamaar Bhuvan"
"tt0331314";4.8;48;"Louis Ross";"Michael A. Nickles, Julia Wall";"Travis and Whitney visit their grandparents and stumble upon the evil plan of a greedy land developer. Travis falls through a magical portal which transports him to the world of American hero, Paul Bunyan and his pet ox, Babe.";"Animacion, Aventura, Comedia";84;"Bunyan and Babe"
"tt0337926";5.9;59;"Guilherme Fontes";"Joao Emanuel Carneiro, Guilherme Fontes, Matthew Robbins";"La historia de Assis Chateaubriand, el primer magnate de la comunicacion de Brasil. Debido a su influencia desde finales de la decada de 1930 hasta principios de la de 1960, se le ha llamado El ciudadano brasileno Kane.";"Biografia, Drama";102;"Chato: O Rei do Brasil"
"tt0339736";5.6;56;"Andrew Getty";"Andrew Getty";"A lonely, mentally handicapped boy befriends his reflection in an antique mirror. This demonic creature orders him to go on a murderous rampage to kill the people he loves most.";"Terror";98;"The Evil Within"
"tt0339917";5.9;59;"Junli Zheng";"Xiao Yemu, Junli Zheng";"Li Ke and Zhang Ying marry and overcome difficulties working in newly liberated Shanghai in 1947.";"Drama";0;"Wo men fu fu zhi jian"
"tt0346045";6.7;67;"Luis Aller";"Luis Aller, Maria Jose Garcia, Maria Jose Garcia";"Passers-by is a constructivist, multiple, fragmented and cosmic film... a cinematographic Big Bang resulting from a thorough conception and edition work by Director Luis Aller. Passers-by exposes us to ephemeralness inside hundreds of human beings' lives in their particular evolutions, and allows us to watch them as though we open a wide window over the city of Barcel... Leer todo";"Comedia, Drama";94;"Transeuntes"
"tt0357159";5.6;56;"Phil Mulloy";"";"";"Animacion, Comedia";7;"The Sexlife of a Chair"
"tt0359111";6.0;60;"Phil Mulloy";"";"";"Animacion, Comedia";3;"Cowboys: Outrage!"
"tt0359113";5.9;59;"Phil Mulloy";"";"";"Aventura, Comedia";3;"Cowboys: That's Nothin'"
"tt0359114";6.1;61;"Phil Mulloy";"";"";"Animacion, Comedia";3;"Cowboys: The Conformist"
"tt0360556";5.0;50;"Ramin Bahrani";"Ray Bradbury, Ramin Bahrani, Amir Naderi";"En un aterrador futuro higienizado, el joven Guy Montag, cuyo trabajo como bombero es quemar libros, cuestiona sus acciones despues de conocer a una joven, y se empieza a rebelar contra la sociedad.";"Drama, Ciencia ficcion, Suspense";100;"Fahrenheit 451"
"tt0364201";7.1;71;"Kader Kashmiri";"Kader Kashmiri";"A police officer enlists help of a dancer and a jailed comrade to stop an evil mastermind to destroy India apart.";"Accion";137;"Aman Ke Farishtey"
"tt0365545";6.4;64;"Haifaa Al-Mansour";"Adam Brooks, Gina Prince-Bythewood, Trisha R. Thomas";"Violet Jones, cansada de esperar a que su novio de mucho tiempo le proponga matrimonio, rompe con el. Pero antiguos sentimientos, y sin duda un monton de celos, surgen cuando pronto comienza a salir con otra mujer.";"Comedia, Drama, Romance";98;"Desmelenada"
"tt0369610";6.9;69;"Colin Trevorrow";"Rick Jaffa, Amanda Silver, Colin Trevorrow";"Un nuevo parque tematico, construido en el emplazamiento original de Jurassic Park, crea un dinosaurio hibrido modificado geneticamente, el Indominus rex, que escapa a la contencion y se lanza a la matanza.";"Accion, Aventura, Ciencia ficcion";124;"Jurassic World"
"tt0373361";6.7;67;"Phil Mulloy";"";"";"Animacion, Comedia";3;"The Ten Commandments Number 5: Thou Shalt Not Kill"
"tt0376479";6.1;61;"Ewan McGregor";"Philip Roth, John Romano";"Un matrimonio estadounidense aparentemente perfecto ve su vida desmoronarse cuando su hija decide formar parte de los disturbios en los 60.";"Crimen, Drama, Misterio";108;"American pastoral (Pastoral americana)"
"tt0383477";6.3;63;"Dana Offenbach";"Dana Offenbach";"LOVE & ORGASMS is a dramatic comedy about women's relationships that explores the emotional challenges of healing a broken heart and the importance of sexual pleasure for women. After a heartbreaking experience, advertising executive Donna Greenberg throws herself into her work. Not ready to pursue another relationship, she finds sex without the confines of commitment... Leer todo";"Drama";82;"Love & Orgasms"
