ID;Puntuación;Porcentaje;Dirección;Guión;Argumento;Género;Duración;Título
tt0369610;6.9;69.0;Colin Trevorrow;['Rick Jaffa', 'Amanda Silver', 'Colin Trevorrow'];Un nuevo parque temático, construido en el emplazamiento original de Jurassic Park, crea un dinosaurio híbrido modificado genéticamente, el Indominus rex, que escapa a la contención y se lanza a la matanza.;['Acción', 'Aventura', 'Ciencia ficción'];124.0;Jurassic World
tt0478970;7.2;72.0;Peyton Reed;['Edgar Wright', 'Joe Cornish', 'Adam McKay'];El ladrón de guante blanco Scott Lang, equipado con un súper traje con la asombrosa capacidad de reducir el tamaño pero aumentar la fuerza de quien lo lleva, debe aceptar a su héroe interior y ayudar a su mentor, el Dr. Hank Pym, a planear y llevar a cabo un atraco que salvará al mundo.;['Acción', 'Comedia', 'Ciencia ficción'];117.0;Ant-Man
tt10004934;;;Patrick Willems;['Patrick Willems'];A Moviegoer kills an annoying moviegoer.;['Acción'];;Oscar Buzz
tt10054954;;;Yunhao Zhang;['Yunhao Zhang'];;['Animación', 'Acción'];2.0;The Hungry Buddhists
tt10080132;;;Matthew Silva;['Aniel Rios', 'Matthew Silva'];;['Acción'];;Final Descent
tt10080156;;;Matthew Silva;['Aniel Rios', 'Matthew Silva'];;['Acción', 'Crimen'];;Operation Pursuit
tt10080114;;;Maria Robles;['Maria Robles'];;['Acción'];;Flamenco Dancer's Revenge
tt10085492;;;Billy Butler;['Billy Butler'];A post-apocalyptic anthology web-series following the story of two best friends on their daring survival journey in a wasteland littered with the undead.;['Acción'];58.0;Left for Dead- The Infection (The Series)
tt10118134;5.5;55.0;Ly Hai;['Tiet Cuong', 'Truong Giang', 'Ly Hai'];When he discovers a fortune in diamonds in the jungle, a man must flee the criminal gang with the help of a chance acquaintance.;['Acción', 'Comedia'];98.0;Lat Mat
tt10168674;;;Samit L. Baadkar;;;['Acción'];120.0;Dushman
tt10188570;;;Aline Guimarães;['Thalita Carauta', 'Aline Guimarães', 'Anna Righi'];;['Acción', 'Drama'];;Pele 1 Real
tt10217308;;;Juanjo Martínez;['Juanjo Martínez'];A Team of former mercenaries now in charge of national security faces a band involved in organ traffic.;['Acción'];92.0;Corazones en Llamas 2
tt10234208;5.2;52.0;Mario Xavier;['Mario Xavier'];Dr. Beck Jenkins, a Sharkologist, notices sharks acting strangely. He decides to investigate their behaviour, but something seems to suggest a World War Two science experiment may be involved.;['Acción'];6.0;Nazi Sharks
tt10270254;;;Xlson137;['Vitaly Grinevich', 'Xlson137'];;['Acción'];;Beach Tusa - Saltushki!
tt10270232;;;Xlson137;['Xlson137'];;['Acción'];;Beach Tusa - Zakaznoy
tt10284978;;;Aris Koulaidis;['Aris Koulaidis'];;['Acción'];;Pirates Airsoft Team
tt0315642;7.1;71.0;Bejoy Nambiar;['Vidhu Vinod Chopra', 'Abhijat Joshi', 'Bejoy Nambiar'];A grief-stricken cop and an amputee grandmaster are brought together by a peculiar twist of fate as part of a wider conspiracy that has darkened their lives.;['Acción', 'Crimen', 'Drama'];103.0;Wazir
tt0364201;7.1;71.0;Kader Kashmiri;['Kader Kashmiri'];A police officer enlists help of a dancer and a jailed comrade to stop an evil mastermind to destroy India apart.;['Acción'];137.0;Aman Ke Farishtey
tt0775440;4.4;44.0;Tod Williams;['Stephen King', 'Adam Alleca'];Cuando una misteriosa señal de teléfono celular provoca un caos apocalíptico, un artista está decidido a reunirse con su pequeño hijo en Nueva Inglaterra.;['Acción', 'Aventura', 'Terror'];98.0;Cell
