ID;Puntuación;Porcentaje;Dirección;Guión;Argumento;Género;Duración;Título
tt0191476;6.1;61.0;Mircea Daneliuc;['Mircea Daneliuc'];Young Doina has a car accident. In intensive care, the doctor, Vali, calls her time of death but discovers that the child she was carrying is still alive. Wishing to save its life, the doctor puts the mother on artificial life support.;['Comedia'];93.0;Aceste Lehamite
tt0346045;6.7;67.0;Luis Aller;['Luis Aller', 'María José Garcia', 'María José García'];Passers-by is a constructivist, multiple, fragmented and cosmic film... a cinematographic Big Bang resulting from a thorough conception and edition work by Director Luis Aller. Passers-by exposes us to ephemeralness inside hundreds of human beings' lives in their particular evolutions, and allows us to watch them as though we open a wide window over the city of Barcel... Leer todo;['Comedia', 'Drama'];94.0;Transeúntes
tt0420097;6.1;61.0;Michaël Souhaité;['François Hitter', 'Marie-Pierre Huster', 'Michaël Souhaité'];Sweet and bitter comedy about urban life, Prozac Tango stages seven characters who will kill each other, cross paths, meet, miss each other and perhaps love each other.;['Comedia'];19.0;Prozac tango
tt0478970;7.2;72.0;Peyton Reed;['Edgar Wright', 'Joe Cornish', 'Adam McKay'];El ladrón de guante blanco Scott Lang, equipado con un súper traje con la asombrosa capacidad de reducir el tamaño pero aumentar la fuerza de quien lo lleva, debe aceptar a su héroe interior y ayudar a su mentor, el Dr. Hank Pym, a planear y llevar a cabo un atraco que salvará al mundo.;['Acción', 'Comedia', 'Ciencia ficción'];117.0;Ant-Man
tt0884732;6.6;66.0;Jeremy Garelick;['Jeremy Garelick', 'Jay Lavender'];A dos semanas para su boda, un tipo tímido se ve envuelto en una estafa por parte de una empresa que brinda servicio de padrinos de boda.;['Comedia', 'Romance'];101.0;El gurú de las bodas
tt10005306;;;François Lallier;['Maxime Séguin-Durand'];-Awareness campaign on drugs while driving. Using a pigeon and a squirrel, she recalls that the police are able to recognize a drugged driver. The campaign is aimed primarily at drivers aged 16 to 24.;['Comedia'];1.0;Publicité SAAQ - campagne publicitaire sur les drogues au volant (Pigeon)
tt10014650;;;Pauli Janhunen Calderón;['Marina Janhunen Calderón', 'Alvaro Grobet Calderón', 'Emilio Janhunen Calderón'];Adventurer Tracy Smith embarks on a journey to find the treasure from the Secret Abyss. With the help of Niño Mistico they must face dangers on the way. Silver Servant, Don Maligni's troops and the Guardian will all challenge the mission.;['Aventura', 'Comedia'];24.0;Tracy Smith: El Tesoro del Abismo Secreto
tt10016730;;;Zidny Nafian;['Zidny Nafian'];On an elevated afternoon, two Boys talked about the cause of a motorbike that was not bought.;['Comedia'];5.0;Rajawali
tt10022342;;;Andrew Craig;['Andrew Craig'];;['Comedia'];12.0;In the Realms of Good and Evil
tt10022366;;;Andrew Craig;['Andrew Craig'];;['Comedia', 'Drama'];7.0;Jeremy
tt10054954;;;Yunhao Zhang;['Yunhao Zhang'];;['Animación', 'Acción'];2.0;The Hungry Buddhists
tt0357159;5.6;56.0;Phil Mulloy;;;['Animación', 'Comedia'];7.0;The Sexlife of a Chair
tt0359111;6.0;60.0;Phil Mulloy;;;['Animación', 'Comedia'];3.0;Cowboys: Outrage!
tt0359113;5.9;59.0;Phil Mulloy;;;['Aventura', 'Comedia'];3.0;Cowboys: That's Nothin'
tt0359114;6.1;61.0;Phil Mulloy;;;['Animación', 'Comedia'];3.0;Cowboys: The Conformist
tt0373361;6.7;67.0;Phil Mulloy;;;['Animación', 'Comedia'];3.0;The Ten Commandments Number 5: Thou Shalt Not Kill
tt0422842;;;Hakusan Kimura;['Yutaka Aso'];;['Animación', 'Comedia'];;Nonkina tosan Yamazaki kaido
tt0475290;6.3;63.0;Ethan Coen;['Joel Coen', 'Ethan Coen'];Un mediador del Hollywood de los años 50 trata de mantener a raya a las estrellas del estudio.;['Comedia', 'Drama', 'Misterio'];106.0;¡Ave, César!
tt0765453;;;Ryan Paige;['Ryan Paige'];When the beautiful and popular head cheerleader at suburban Plano North High School is kidnapped, high school outcasts Henry Welles and Kip Peterson take it upon themselves to solve the kidnapping and rescue the cheerleader in an effort to improve their social standing.;['Comedia'];;Have You Seen Me?
tt0821486;6.4;64.0;Steve Becker;['Steve Becker'];A rock & roll romantic comedy set in NYC about the pursuit of love, passion, and the meaning of life, all punctuated by an original, pulsating soundtrack and live performances by the all girl group MaxiTit.;['Comedia', 'Música', 'Romance'];99.0;Manhattan Minutiae
tt0825283;3.6;36.0;Jay Martin;['James Patterson', 'Angelique Hanus', 'Jesse Spears'];Una bandada de niños alados monta un plan de rescate cuando los niños-lobos secuestran a su miembro más joven y la devuelven a la institución militarizada que los creó a todos.;['Acción', 'Aventura', 'Comedia'];88.0;El viaje de Max
tt0837156;6.1;61.0;John Lee;['Paul Reubens', 'Paul Rust'];A fateful meeting with a mysterious stranger inspires Pee-wee Herman to take his first holiday ever in this epic story of friendship and destiny.;['Comedia', 'Familiar'];90.0;Pee-wee's Big Holiday
tt0838194;7.9;79.0;Scott Slone;['Scott Slone'];Inspired by war films from the 1950's, Retreat! tells the story of nine U.S. Soldiers who were forced to retreat into unknown territories deep in the heart of Korea.;['Comedia', 'Drama', 'Bélico'];;Retreat!
tt10011176;6.0;60.0;Tamara Bruketta;;A pool party, rambunctious teen fun, what harm could one little fart do? Right?;['Comedia'];3.0;Pool Fart
tt10027418;;;KT Kent;['Jewel Greenberg', 'Kristy Thomas'];;['Comedia'];;Culture Club
