ID;Puntuacion;Porcentaje;Direccion;Guion;Argumento;Genero;Duracion;Titulo
tt0177220;6.4;64.0;Elisabeth Subrin;['Elisabeth Subrin'];A shot-by-shot reenactment of an unreleased 1967 documentary portrait of SAIC student Shulamith Firestone, who, a few years later, would become a central figure in the rise of radical feminism.;['Biografía', 'Drama'];37.0;Shulie
tt0297400;7.0;70.0;;;El ingenio empresarial, la paranoia y el derramamiento de sangre detrás del tráfico de cocaína, en la historia real del contrabandista Zachary Swan, que a principios de los 70 organizó redes para burlar a policía y funcionarios de aduanas.;['Crimen', 'Drama'];;Snowblind
tt0337926;5.9;59.0;Guilherme Fontes;['João Emanuel Carneiro', 'Guilherme Fontes', 'Matthew Robbins'];La historia de Assis Chateaubriand, el primer magnate de la comunicación de Brasil. Debido a su influencia desde finales de la década de 1930 hasta principios de la de 1960, se le ha llamado El ciudadano brasileño Kane.;['Biografía', 'Drama'];102.0;Chatô: O Rei do Brasil
tt0346045;6.7;67.0;Luis Aller;['Luis Aller', 'María José Garcia', 'María José García'];Passers-by is a constructivist, multiple, fragmented and cosmic film... a cinematographic Big Bang resulting from a thorough conception and edition work by Director Luis Aller. Passers-by exposes us to ephemeralness inside hundreds of human beings' lives in their particular evolutions, and allows us to watch them as though we open a wide window over the city of Barcel... Leer todo;['Comedia', 'Drama'];94.0;Transeúntes
tt0420293;6.8;68.0;Kyle Patrick Alvarez;['Tim Talbott', 'Philip Zimbardo'];En 1971, veinticuatro estudiantes masculinos son seleccionados para asumir papeles de prisioneros y guardias asignados al azar en una prisión de prueba situada en el sótano del edificio de psicología de Stanford.;['Biografía', 'Drama', 'Historia'];122.0;Experimento en la prisión de Stanford
tt0462335;5.5;55.0;Ben Wheatley;['Amy Jump', 'J.G. Ballard'];Las vidas de los vecinos de un edificio se salen de control.;['Drama', 'Ciencia ficción'];119.0;High-Rise
tt0787524;7.2;72.0;Matt Brown;['Robert Kanigel', 'Matt Brown'];La historia y vida del genio matemático indio Srinivasa Ramanujan y su amistad con su mentor, el profesor G.H. Hardy.;['Biografía', 'Drama'];108.0;El hombre que conocía el infinito
tt0790770;6.4;64.0;Don Cheadle;['Steven Baigelman', 'Don Cheadle', 'Stephen J. Rivele'];Una exploración de la vida y obra del músico Miles Davis.;['Biografía', 'Drama', 'Música'];100.0;Miles Ahead
tt0810819;7.1;71.0;Tom Hooper;['Lucinda Coxon', 'David Ebershoff'];Historia de amor ficticia inspirada en las vidas de los artistas daneses Lili Elbe y Gerda Wegener. El matrimonio y el trabajo de Lili y Gerda evolucionan a medida que transcurre la pionera experiencia de Lili como transgénero.;['Biografía', 'Crimen', 'Drama'];119.0;La chica danesa
tt0977643;5.6;56.0;Sukhwant Dhadda;['Sukhwant Dhadda', 'Harinder', 'Vivek Kumar'];El huérfano Simran se casa con Aman, un oficial del ejército. Tras la muerte de Aman, Simran promete cuidar a su familia. Las esposas de los suegros crean divisiones. Simran lucha por reunir a la familia y cumplir su promesa.;['Drama', 'Musical', 'Romance'];;Chooriyan
tt10003786;;;Armando Milano;['Armando Milano'];A young journalist on his first assignment falls in love with his subject, an up and coming nightclub singer.;['Drama'];9.0;Rosie & Me
tt10005560;;;Ryan Chapel;['Anthony Bello', 'Michael Robert', 'Jess Stainbrook'];A mysterious messenger delivers blank invitations to unsuspecting people that have more in common than we think.;['Drama'];;The Invite
tt10009920;;;Daniel Molnár;['Anita Pataki'];A girl realizes, she's in The Sims.;['Drama', 'Ciencia ficción'];11.0;Zöld fény
