ID;Puntuación;Porcentaje;Dirección;Guión;Argumento;Género;Duración;Título
tt10014650;;;Pauli Janhunen Calderón;['Marina Janhunen Calderón', 'Alvaro Grobet Calderón', 'Emilio Janhunen Calderón'];Adventurer Tracy Smith embarks on a journey to find the treasure from the Secret Abyss. With the help of Niño Mistico they must face dangers on the way. Silver Servant, Don Maligni's troops and the Guardian will all challenge the mission.;['Aventura', 'Comedia'];24.0;Tracy Smith: El Tesoro del Abismo Secreto
tt10131186;;;Sandy Sai;['Sandy Sai'];;['Fantasía'];;Mind Games
tt10210636;;;Ji-na Kang;['Ji-na Kang', 'Woo Moon-gi', 'Yeon-Shick Shin'];"A collected-works compilation featuring three short films, ""Geu-ge a-ni-go/Not That"", ""Hear My Song"", ""Seul-peun ssin/Sad Song"", by contemporary South Korean filmmakers and produced by fashion magazine W Korea on its 10th year anniversary.";['Drama', 'Fantasía', 'Romance'];;Yeo-ja, nam-ja
tt10264222;;;Max Nadolny;['Max Nadolny'];A day in the life of a filthy rich family of pigs living in a castle, as told through the eyes of their human butler.;['Drama', 'Fantasía'];4.0;Eat the Rich
tt0803096;6.7;67.0;Duncan Jones;['Charles Leavitt', 'Duncan Jones'];Mientras una horda de orcos invade el planeta Azeroth utilizando un portal mágico, unos pocos héroes humanos y orcos disidentes deben intentar detener al verdadero mal que hay detrás de esta guerra.;['Acción', 'Aventura', 'Fantasía'];123.0;Warcraft: El origen
tt0825283;3.6;36.0;Jay Martin;['James Patterson', 'Angelique Hanus', 'Jesse Spears'];Una bandada de niños alados monta un plan de rescate cuando los niños-lobos secuestran a su miembro más joven y la devuelven a la institución militarizada que los creó a todos.;['Acción', 'Aventura', 'Comedia'];88.0;El viaje de Max
tt0918940;6.2;62.0;David Yates;['Adam Cozad', 'Craig Brewer', 'Edgar Rice Burroughs'];Tarzán, tras acostumbrarse a vivir en Londres, regresa a su hogar en la jungla para investigar las actividades mineras en la zona.;['Acción', 'Aventura', 'Drama'];110.0;La leyenda de Tarzán
tt1002563;5.7;57.0;Cyrus Nowrasteh;['Betsy Giffen Nowrasteh', 'Cyrus Nowrasteh', 'Anne Rice'];Tells the story of Jesus Christ at age seven as he and his family depart Egypt to return home to Nazareth. Told from his childhood perspective, it follows young Jesus as he grows into his religious identity.;['Drama', 'Fantasía'];111.0;El joven mesías
tt10026354;;;Vazquez Edgar;['Luis Puentes'];;['Fantasía', 'Ciencia ficción'];7.0;Panspermia, la semilla del todo
tt10029286;;;Rec Revan;['Mehdi Aliyev', 'Namiq Aslanov'];;['Drama', 'Fantasía'];4.0;Unfriended
tt10044718;;;Seth Klaudt;['Seth Klaudt'];;['Fantasía'];16.0;En El Valle De Gigantes
tt10066186;;;Zuri Shafer;['Mike Dominguez'];Ellie reflects on a difficult decision she made as she embarks on a journey to save mankind.;['Fantasía'];8.0;88A-12
tt10079808;;;Eric Warwaruk;['Eric Warwaruk'];A mother and daughter with a mysterious past live a gypsy vagrant lifestyle. The daughter dreams of a different, normal life with a new boyfriend. After the daughter is jilted, the mother appeals to a higher power for revenge.;['Fantasía'];7.0;Mother Knows Best
tt10093068;;;Paul Stainthorpe;['Paul Stainthorpe'];Family is a link to our past and a bridge to our future.;['Fantasía'];7.0;Number 6
tt10121060;;;Simon Doutreleau;['Simon Doutreleau'];As the Spanish flu contamines Europe, a young boy fight to survive. Surrounded by his parents and his doctor, he fell in very deep sleep made of painful and nostalgic memories.;['Fantasía'];;Au bord du gouffre
tt10127688;;;Davide Fois;['Valentina Cicogna'];;['Fantasía'];3.0;When I Was Born
tt10233778;;;Nut;['Ana Buján', 'Nut', 'Letizzia Pedroche'];"""Feeling and Movement unite us with bonds that make us share and create new Universes.""";['Fantasía'];6.0;E-mocion
tt10236434;;;Yingxin Zhu;['Yingxin Zhu'];;['Fantasía', 'Terror', 'Romance'];65.0;Ling Hun Zhi Zha Dian
tt10281518;;;U.V. Eranna;['Chakradhar Dittakavi', 'U.V. Eranna', 'Venkatesh Kanupuru'];;['Drama', 'Fantasía'];;Ee Shruthi Lo
tt10304048;;;Timofey Zhalnin;['Timofey Zhalnin'];;['Fantasía'];9.0;Aquarius
tt10338068;5.8;58.0;Gert Embrechts;['Pieter Bart Korthuis'];;['Familiar', 'Fantasía'];83.0;Trollie: The Great Rescue
tt10366580;;;Parry Glasspool;;;['Fantasía'];2.0;Standing on Enceladus
tt0100275;6.5;65.0;Raúl Ruiz;['Pía Rey', 'Raúl Ruiz'];The film revolves around the concept of soap opera. Its structure is based on the assumption that Chilean reality does not exist, but rather is an ensemble of soap operas.;['Comedia', 'Drama', 'Fantasía'];80.0;La Telenovela Errante
tt0331314;4.8;48.0;Louis Ross;['Michael A. Nickles', 'Julia Wall'];Travis and Whitney visit their grandparents and stumble upon the evil plan of a greedy land developer. Travis falls through a magical portal which transports him to the world of American hero, Paul Bunyan and his pet ox, Babe.;['Animación', 'Aventura', 'Comedia'];84.0;Bunyan and Babe
tt0451279;7.3;73.0;Patty Jenkins;['Allan Heinberg', 'Zack Snyder', 'Jason Fuchs'];Cuando un piloto se estrella y habla de un conflicto en el mundo exterior, Diana, una guerrera amazona en formación, deja su hogar para luchar en la guerra, descubriendo sus plenos poderes y su verdadero destino.;['Acción', 'Aventura', 'Fantasía'];141.0;Wonder Woman
tt0974015;6.1;61.0;Zack Snyder;['Jerry Siegel', 'Joe Shuster', 'Chris Terrio'];Impulsado por su restaurada fe en la humanidad e inspirado por el acto desinteresado de Superman, Bruce Wayne consigue la ayuda de su recién encontrada aliada, Diana Prince, para enfrentarse a un enemigo aún mayor.;['Acción', 'Aventura', 'Fantasía'];120.0;Liga de la Justicia
tt10022382;;;Patrick Cloninger;['Patrick Cloninger'];;['Comedia', 'Fantasía'];7.0;Excalibur Too
tt10038742;;;Carl Abrahamsson;['Vanessa Sinclair'];Praising lunar forces and witches from all times and spaces, LUNACY acts as a conductor to emotional transcendence and illumination rather than to scientific analysis. The Moon is always there in various degrees of visibility to the human eye, but the power of Hecate and other lunar celebrities remains constant. It's the only fact that's relevant in the greater human ... Leer todo;['Fantasía'];44.0;Lunacy
tt10054268;;;Kreigh Carter;['Kreigh Carter'];A Young girl in a broken home finds kinship in a Satellite that travels past her house every year.;['Fantasía'];;It's Lonely Down Here
tt10054752;;;Anh Be;['Zimf'];The story is about a young man named Le Minh Vien, whom suffered depression due to unemployment, Vien decided to end his life. On the verge of death, Vien started having illusions. But it was too late, the harsh reality went too far beyond from what Vien was thinking.;['Fantasía'];7.0;Hannah
tt10077598;;;Qing Wu;;It is a film directed by Wu Qin.The film is about the trials and tribulations of adolescence.Angel, who smuggles from future 71Y2 back to 20X7, disguises her space-time passport as a 2B pencil. But she loses it accidently and is locked in a summer exam campus in 20X7. Time from 8:45 to 18:45 of June 8 is compulsively repeated. Angel has only 30 days to look for her sp... Leer todo;['Comedia', 'Drama', 'Fantasía'];98.0;The Girl From Future
