ID;Puntuación;Porcentaje;Dirección;Guión;Argumento;Género;Duración;Título
tt0790770;6.4;64.0;Don Cheadle;['Steven Baigelman', 'Don Cheadle', 'Stephen J. Rivele'];Una exploración de la vida y obra del músico Miles Davis.;['Biografía', 'Drama', 'Música'];100.0;Miles Ahead
tt0810819;7.1;71.0;Tom Hooper;['Lucinda Coxon', 'David Ebershoff'];Historia de amor ficticia inspirada en las vidas de los artistas daneses Lili Elbe y Gerda Wegener. El matrimonio y el trabajo de Lili y Gerda evolucionan a medida que transcurre la pionera experiencia de Lili como transgénero.;['Biografía', 'Crimen', 'Drama'];119.0;La chica danesa
tt0850678;6.9;69.0;Nitram Nosirrag;['Martin Garrison'];A bad-boy bachelor falls for his nemesis and downstairs neighbor, a conservative chinese-american acupuncturist. Just as he becomes more family-oriented, an offensive bet he made about her is revealed, and he must scramble amidst a colorful array of characters to win back her heart. Cinematography by oscar nominee james laxton (moonlight). Shot for under $100,000 in o... Leer todo;['Romance'];90.0;Jackson Arms
tt0977643;5.6;56.0;Sukhwant Dhadda;['Sukhwant Dhadda', 'Harinder', 'Vivek Kumar'];El huérfano Simran se casa con Aman, un oficial del ejército. Tras la muerte de Aman, Simran promete cuidar a su familia. Las esposas de los suegros crean divisiones. Simran lucha por reunir a la familia y cumplir su promesa.;['Drama', 'Musical', 'Romance'];;Chooriyan
tt10090588;;;Kweon-Hyi Choi-Yool;['Chae-dam Lee', 'Jae-Wook Choi', 'Hong-je Kim'];;['Romance'];98.0;Street Stall
tt0315642;7.1;71.0;Bejoy Nambiar;['Vidhu Vinod Chopra', 'Abhijat Joshi', 'Bejoy Nambiar'];A grief-stricken cop and an amputee grandmaster are brought together by a peculiar twist of fate as part of a wider conspiracy that has darkened their lives.;['Acción', 'Crimen', 'Drama'];103.0;Wazir
tt0475290;6.3;63.0;Ethan Coen;['Joel Coen', 'Ethan Coen'];Un mediador del Hollywood de los años 50 trata de mantener a raya a las estrellas del estudio.;['Comedia', 'Drama', 'Misterio'];106.0;¡Ave, César!
tt10036220;;;Jon Cullen;['Mildred Wirt Benson', 'Jon Cullen', 'Edward Stratemeyer'];Frank and Joe Hardy help Nancy Drew locate her missing brother.;['Misterio'];20.0;The Hardy Boys: Dead Man's Cave
tt10039628;;;Jon Cullen;['Mildred Wirt Benson', 'Edward Stratemeyer'];Nancy Drew's uncle asks Frank and Joe Hardy to investigate a break-in, leading to clues about the disappearance of Nancy's aunt.;['Misterio'];30.0;The Hardy Boys: End of the Line
tt10061690;;;Jay Galloway;['Jay Galloway'];;['Misterio'];;When the Phantom Strikes
tt10101362;;;Danil Morozov;['Nasty Bohemia'];;['Misterio'];;Red Seed
tt10106344;;;Danil Morozov;['Nasty Bohemia'];;['Misterio'];;Red Seed
tt10128650;;;Corbin Gregory;['Corbin Gregory'];;['Misterio'];14.0;The Girl of My Newfound Friend
