ID;Puntuación;Porcentaje;Dirección;Guión;Argumento;Género;Duración;Título
tt0443533;6.3;63.0;Radu Mihaileanu;['Radu Mihaileanu', 'Marcia Romano', 'Nicole Krauss'];The story of a long-lost book that mysteriously reappears and connects an old man searching for his son with a girl seeking a cure for her mother's loneliness.;['Drama', 'Romance', 'Bélico'];134.0;La historia del amor
tt0821486;6.4;64.0;Steve Becker;['Steve Becker'];A rock & roll romantic comedy set in NYC about the pursuit of love, passion, and the meaning of life, all punctuated by an original, pulsating soundtrack and live performances by the all girl group MaxiTit.;['Comedia', 'Música', 'Romance'];99.0;Manhattan Minutiae
tt0918940;6.2;62.0;David Yates;['Adam Cozad', 'Craig Brewer', 'Edgar Rice Burroughs'];Tarzán, tras acostumbrarse a vivir en Londres, regresa a su hogar en la jungla para investigar las actividades mineras en la zona.;['Acción', 'Aventura', 'Drama'];110.0;La leyenda de Tarzán
tt10048900;;;Yekaterina Il'inykh;['Nikolai Gostyukhin'];A young girl has feelings for two guys and it's time to make the choice but it might be too late.;['Romance'];2.0;Vybory
tt10066376;;;Krishna Prasad;['Navya', 'Ranjith', 'Vaidehi'];Goa Girls is about Priya who is married to a millionaire and has an illegal affair with her PA Aravind. To lead a happy life they plan to kill Priya's husband. Twist in the tale arises when Priya herself gets killed. Finding the killer and the motive behind it forms the rest of the story.;['Romance'];98.0;Goa Girls
tt10075604;5.5;55.0;Tuan Vu Dinh;['Duc Thinh'];After a missed flight, an absent-minded scientist must catch a cab to make his marriage proposal but a stern driver veers him further off-course.;['Comedia', 'Drama', 'Romance'];95.0;Taxi, Em Tên Gì?
tt10078764;4.1;41.0;Tuan Vu Dinh;['Duc Thinh'];A magical encounter leaves a young woman with a dog that must help her romance a pop star in order to transform back into a human.;['Comedia', 'Drama', 'Romance'];100.0;Cho Em Dên Ngày Mai
tt10085844;7.2;72.0;Humar Hadi;['Humar Hadi'];;['Romance'];90.0;Tausiyah Cinta
tt10087474;;;;;;['X', 'Romance'];;Forbidden Sex Wet Dream
tt10087478;;;;;;['X', 'Romance'];57.0;Bare Skin
tt0491203;6.2;62.0;Justin Chadwick;['Deborah Moggach', 'Tom Stoppard'];Un artista se enamora de una joven mujer casada mientras se le encarga pintar su retrato durante la manía tulipán del siglo XVII en Ámsterdam.;['Drama', 'Historia', 'Romance'];105.0;Tulip Fever
tt0498381;4.5;45.0;F. Javier Gutiérrez;['David Loucka', 'Jacob Estes', 'Akiva Goldsman'];Una joven se encuentra en el extremo receptor de una terrible maldición que amenaza con acabar con su vida en 7 días.;['Drama', 'Terror', 'Misterio'];102.0;Rings
tt10006428;;;Livvy Edwards;['Katie Byford'];;['Romance'];4.0;The First Date
tt10009896;;;Enoc Daniel Rodriguez;['Enoc Daniel Rodriguez'];Mini drama about 2 guys that feel love one for each other, but their parents don't accept that relationship, So they decide to escape together and thus be happy for an eternity.;['Drama', 'Romance'];;The Pursuit of Love
tt10015200;;;Wayne Wilde;['Nora Pantoja', 'Alfredo J. Ruiz'];;['Romance'];;Love Lost
tt10033852;8.3;83.0;Kedar Shinde;['Chetan Dange', 'Omkar Mangesh Datt', 'Chinmay Kulkarni'];Rayaba, an aimless guy who fails in 12th-grade exams, falls in love with Shraddha, a state topper and the daughter of a health quality inspector. After a lot of wooing, Rayaba manages to win Shraddha's heart and when her father comes to know about their relationship he agrees for their marriage but on the condition that Rayba passes the test put by him. Whilst attempt... Leer todo;['Romance'];143.0;Rangeela Raybaa
