ID;Puntuación;Porcentaje;Dirección;Guión;Argumento;Género;Duración;Título
tt10037040;;;Rec Revan;['Lale Memmed', 'Mubariz Samadov'];;['Terror', 'Suspense'];4.0;Devil's Side
tt10045146;;;Andrea Maccarri;['Andrea Maccarri'];;['Terror'];26.0;Il caso della belva del plenilunio
tt10162952;;;Carlo Bettelini;['Michael Anlero', 'Carlo Bettelini', 'Carlo Praolini'];;['Terror'];;The dolls sight
tt10162794;;;Yogesh Munisiddappa;['Yogesh Munisiddappa'];A painter moves into a haunted mansion with his wife. The spirit takes over his wife's body and begins to lead him to a his past. Why does the trapped soul seek revenge? Is there a love story that remains unfinished?;['Terror', 'Suspense'];;Chandrika
tt10183850;;;Tomas Rydehed;['Tomas Rydehed'];Three Girls going camping meet up with Three scientists who are exploring the mythical forest of iron. Undead vikings roam he forest and wants to awaken Månegarm, the mythical wolf.;['Terror'];72.0;The Forest of Iron
tt10191788;;;Gilberto Vázquez;['Gilberto Vázquez'];He wants to feel and he will go to great lengths to try and find what makes someone human. Stuck between not knowing whether he is something or someone, he seeks to fill in the void.;['Terror'];19.0;Inergia: Sintiencia al vacío
tt10228922;;;Maf Lewis;['Maf Lewis'];;['Terror'];17.0;Zombies 1985
tt10237576;;;David Schmidt;['David Schmidt'];A spooky satire of 70's movies and record commercials.;['Terror'];;Satanic Sounds of The 70's
tt10254886;;;Jorge Guerra;['Jorge Guerra'];;['Terror'];9.0;Looner
tt10270280;;;Vladimir Tsaturov;['Vladimir Tsaturov', 'Xlson137'];;['Terror'];;Play with Artem in Slender Claustrophobia
tt10269814;;;Frank Sanders;['Frank Sanders'];;['Terror'];4.0;I Saw You
tt10269796;;;Frank Sanders;['Frank Sanders'];;['Terror'];4.0;Fhtagn
tt10269854;;;Frank Sanders;['Frank Sanders'];;['Terror'];5.0;Don't Turn Around
tt10279522;3.9;39.0;Riley Lorden;['Riley Lorden'];Michael Myers returns in this short fan film based on the 1978 classic.;['Terror'];6.0;Halloween
tt1029360;4.9;49.0;Gil Kenan;['David Lindsay-Abaire', 'Steven Spielberg', 'Michael Grais'];Una familia cuyo hogar está atormentado por las fuerzas del mal debe unirse para rescatar a su hija menor después de que las apariciones consiguen llevársela.;['Terror', 'Suspense'];93.0;Poltergeist
tt10294660;;;Matthew Silva;['Matthew Silva'];;['Terror', 'Suspense'];;The Sucession
tt10336440;;;Jason McGhinnis;['Anna Brown', 'Carla Robinson'];Not all is what is seems when a serial killer is on the loose in a small town. Even the most innocent can turn out to be cold blooded killers.;['Terror', 'Suspense'];7.0;Killer Charm
tt10346304;7.9;79.0;Bennet Silverman;['Bennet Silverman'];4 friends descend on a log cabin for a weekend of fun, but an ominous sexually frustrated presence resides within.;['Comedia', 'Terror'];3.0;Handjob Cabin
tt10359724;;;Kendall Christianson;['Kendall Christianson'];A young woman mentally breaks down when she finds out she's living with a psychotic killer.;['Terror'];9.0;Neighbor of the Beast
tt10363850;5.1;51.0;Nayato Fio Nuala;['Fatimah Fahim'];Yudha moves to Vila Andaru on the slopes of Mount Wilis. Elisa and Dewa go to Mount Wilis to seek the long lost Elisa's sister. Elisa and Dewa stay at the hotel Cempaka. The three meet there. Yudha want to know what really happens there.;['Terror'];78.0;Takut: Tujuh Hari Bersama Setan
tt10368514;4.1;41.0;Dakota Miller;;Living with the guilt of Tommy's death on her hands, Laurie Strode struggles with life after the attack and soon finds out a shocking discovery. In CNT Film's Halloween II, Michael Myers is back again in attempt to murder Laurie and her friends. Find out if she lives or dies.;['Terror'];95.0;Halloween 2 (Fan Film)
tt10415404;;;Suncica Ana Veldic;['Suncica Ana Veldic'];;['Terror'];3.0;The Tenant
tt1051904;6.3;63.0;Rob Letterman;['Darren Lemke', 'Scott Alexander', 'Larry Karaszewski'];Un adolescente se une a la hija del autor de libros de terror para jóvenes R. L. Stine, después de que los demonios imaginarios del escritor se liberen en la ciudad de Madison, Delaware.;['Aventura', 'Comedia', 'Fantasía'];103.0;Pesadillas
tt10529270;;;Octavio Mora;['Octavio Mora'];Boy wakes up as one of the living dead in a world at the brink of destruction, as he explores his new state of mind and dead body capabilities he spots a girl in a similar situation as his, this could be love at first sight.;['Terror'];3.0;Zombie Love
tt10545478;;;Frank Soul;['Frank Soul'];A student practices CPR on a medical dummy.;['Terror'];1.0;CPR
tt10545964;;;Mahyar Khosravani;['Mahyar Khosravani'];;['Terror'];6.0;The Last Night
tt10569454;;;;;Egged by his friends, a drunk Vishal agrees to spend a night in a spooky graveyard, unaware that this petty bet would soon turn into his worst nightmare. Can Vishal survive the horrific night? Or will the darkness of the night take over? Find out in the first Tulu horror film ever made, Ice Cream.;['Terror'];;Ice Cream
tt10583178;;;;;;;;
tt10637852;;;Keely Martin;['Keely Martin'];;['Terror'];;June
tt10665112;;;Darren Brown;;;['Terror'];5.0;Blackout
