ID;Puntuación;Porcentaje;Dirección;Guión;Argumento;Género;Duración;Título
tt0420293;6.8;68.0;Kyle Patrick Alvarez;['Tim Talbott', 'Philip Zimbardo'];En 1971, veinticuatro estudiantes masculinos son seleccionados para asumir papeles de prisioneros y guardias asignados al azar en una prisión de prueba situada en el sótano del edificio de psicología de Stanford.;['Biografía', 'Drama', 'Historia'];122.0;Experimento en la prisión de Stanford
tt10025766;;;Alexandra de Saint Blanquat;['Aurélia Poirier', 'Gaël Zaks'];;['Misterio', 'Suspense'];;Endless Night
tt10037040;;;Rec Revan;['Lale Memmed', 'Mubariz Samadov'];;['Terror', 'Suspense'];4.0;Devil's Side
tt10073118;;;Robert Nevico;['Robert Nevico'];;['Suspense'];12.0;Imogen
tt10073934;;;Dathan Smith;['Dathan Smith'];;['Suspense'];;Picture Perfect
tt10083332;;;Nikodem Rautszko;['François Lacoste'];;['Suspense'];;Vizavi Terminus
tt10091144;;;Chelsea Aldrich;['Chelsea Aldrich'];Inspired by actual events. A look into our country's past reveals a dark and disturbing truth.;['Suspense'];3.0;Tripping Over Shadows
tt10092880;;;Jérémy Adonis;['Jérémy Adonis'];;['Suspense'];;Zone 37
tt10126858;;;Juan Pablo Cortés;['Juan Pablo Cortés'];;['Suspense'];;Almas de la Niebla
tt1014763;6.4;64.0;Daniel Espinosa;['Richard Price', 'Tom Rob Smith'];Un miembro caído en desgracia de la policía militar rusa investiga una serie de asesinatos de niños durante la época de Stalin en la Unión Soviética.;['Crimen', 'Drama', 'Historia'];137.0;El niño 44
tt10162794;;;Yogesh Munisiddappa;['Yogesh Munisiddappa'];A painter moves into a haunted mansion with his wife. The spirit takes over his wife's body and begins to lead him to a his past. Why does the trapped soul seek revenge? Is there a love story that remains unfinished?;['Terror', 'Suspense'];;Chandrika
tt1022871;4.8;48.0;Raymond Dussault;['Raymond Dussault', 'Bryan Martin'];Seven friends pack up for one last backpacking trip before the final end of summer. When they strike out into the wilderness and stumble on two ex-cons hell-bent on staying free, their peaceful retreat explodes into terrorized flight. A film that explores the dark depths of familial loyalty and pits friendship against survival, Deer Season will put a death grip on you... Leer todo;['Suspense'];92.0;Deer Season
tt10240824;;;Adrian Jackson;['Tiffany Love'];A woman is stalked on here date by a man who turns out to be her husband, who was supposed to be out of town on a business trip.;['Suspense'];8.0;A Lie Has No Future
tt10260216;;;Axel Axe;['Axel Axe', 'Daniel Howat'];;['Suspense'];3.0;Remain
tt10269756;;;Frank Sanders;['Frank Sanders'];;['Suspense'];9.0;Never Have I Ever
tt10288256;;;Óscar González;['Roberto Palazuelos', 'Mercedes Regina', 'Alejandro Camacho'];;['Drama', 'Suspense'];88.0;Con mis propias manos
tt1029360;4.9;49.0;Gil Kenan;['David Lindsay-Abaire', 'Steven Spielberg', 'Michael Grais'];Una familia cuyo hogar está atormentado por las fuerzas del mal debe unirse para rescatar a su hija menor después de que las apariciones consiguen llevársela.;['Terror', 'Suspense'];93.0;Poltergeist
tt10294660;;;Matthew Silva;['Matthew Silva'];;['Terror', 'Suspense'];;The Sucession
tt10300622;;;Matt Enos;['Matt Enos'];An escalation of violence erupts between two small town criminals as a result of stolen money and a broken jaw.;['Drama', 'Suspense'];73.0;Trouble Down East
tt10336440;;;Jason McGhinnis;['Anna Brown', 'Carla Robinson'];Not all is what is seems when a serial killer is on the loose in a small town. Even the most innocent can turn out to be cold blooded killers.;['Terror', 'Suspense'];7.0;Killer Charm
